rank,name,description,link,downloads,stars,installs_all_time,installs_current,comments,versions,owner_handle,slug,llm_primary_category,llm_category_axes,llm_scope_type,llm_scope_anchor,llm_domain_labels,llm_specific_software,llm_specific_file_types,llm_specific_processes,llm_is_domain_specific,llm_specificity_score,llm_confidence,llm_scope_reason,id
2,Skill Vetter,"Security-first skill vetting for AI agents. Use before installing any skill from ClawdHub, GitHub, or other sources. Checks for red flags, permission scope, and suspicious patterns.",https://clawhub.ai/spclaudehome/skill-vetter,198647,871,3902,3822,0,1,spclaudehome,skill-vetter,process_workflow,"[""domain_knowledge"", ""process_workflow""]",process_specific,security vetting,"[""engineering"", ""security""]","[""ClawdHub"", ""GitHub""]",[],"[""code review"", ""security vetting""]",True,75,0.95,Provides a specific security protocol for evaluating and vetting agent skills before installation.,2
5,Github,"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries.",https://clawhub.ai/steipete/github,152513,498,4046,3930,7,1,steipete,github,software_tool,"[""software_tool""]",tool_specific,GitHub,"[""engineering""]","[""GitHub"", ""gh CLI""]",[],"[""ci/cd"", ""issue management"", ""pull request management""]",True,90,1.0,Specifically designed to interface with the GitHub platform via its command-line tool.,5
6,Gog,"Google Workspace CLI for Gmail, Calendar, Drive, Contacts, Sheets, and Docs.",https://clawhub.ai/steipete/gog,151047,826,3368,3256,36,1,steipete,gog,software_tool,"[""software_tool""]",tool_specific,Google Workspace,"[""productivity""]","[""Gmail"", ""Google Calendar"", ""Google Contacts"", ""Google Docs"", ""Google Drive"", ""Google Sheets"", ""Google Workspace""]","[""calendar"", ""docx"", ""email"", ""xlsx""]","[""calendar scheduling"", ""email management"", ""file management""]",False,85,1.0,Provides a command-line interface for managing various Google Workspace services.,6
8,Weather,Get current weather and forecasts (no API key required).,https://clawhub.ai/steipete/weather,130073,351,3521,3415,6,1,steipete,weather,software_tool,"[""software_tool""]",tool_specific,wttr.in,"[""research""]","[""Open-Meteo"", ""wttr.in""]","[""image""]","[""weather forecasting""]",True,95,1.0,Specifically retrieves weather data from external APIs and web services.,8
9,Multi Search Engine,"Multi search engine integration with 17 engines (8 CN + 9 Global). Supports advanced search operators, time filters, site search, privacy engines, and WolframAlpha knowledge queries. No API keys required.",https://clawhub.ai/gpyangyoujun/multi-search-engine,111379,531,1753,1693,5,3,gpyangyoujun,multi-search-engine,software_tool,"[""software_tool""]",tool_specific,Search Engines,"[""research""]","[""360"", ""Baidu"", ""Bing"", ""Brave"", ""DuckDuckGo"", ""Ecosia"", ""Google"", ""Jisilu"", ""Qwant"", ""Sogou"", ""Startpage"", ""Toutiao"", ""WeChat"", ""WolframAlpha"", ""Yahoo""]",[],"[""web crawling"", ""web search""]",False,75,1.0,Integrates 17 specific search engines and platforms for web crawling and knowledge queries.,9
12,Humanizer,"Remove signs of AI-generated writing from text. Use when editing or reviewing text to make it sound more natural and human-written. Based on Wikipedia's comprehensive ""Signs of AI writing"" guide. Detects and fixes patterns including: inflated symbolism, promotional language, superficial -ing analyses, vague attributions, em dash overuse, rule of three, AI vocabulary words, negative parallelisms, and excessive conjunctive phrases.",https://clawhub.ai/biostartechnology/humanizer,86653,524,1255,1203,6,1,biostartechnology,humanizer,general_capability,"[""general_capability""]",general,text humanization,"[""marketing"", ""writing""]",[],[],"[""ai detection removal"", ""text editing""]",False,60,0.9,It provides a broad capability to refine and humanize AI-generated text across various contexts.,12
16,Obsidian,Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli.,https://clawhub.ai/steipete/obsidian,78009,317,2336,2263,9,1,steipete,obsidian,software_tool,"[""file_artifact"", ""software_tool""]",tool_specific,Obsidian,"[""productivity""]","[""Obsidian"", ""obsidian-cli""]","[""md""]","[""note taking"", ""vault management""]",False,90,1.0,It is specifically designed to manage and automate notes within the Obsidian software ecosystem.,16
19,Baidu Search,"Search the web using Baidu AI Search Engine (BDSE). Use for live information, documentation, or research topics.",https://clawhub.ai/ide-rea/baidu-search,75996,196,828,790,21,11,ide-rea,baidu-search,software_tool,"[""software_tool""]",tool_specific,Baidu AI Search Engine,"[""research""]","[""Baidu""]",[],"[""web search""]",False,70,1.0,The skill is centered on using the Baidu AI Search Engine for web searches and research.,19
21,Notion,"Notion API for creating and managing pages, databases, and blocks.",https://clawhub.ai/steipete/notion,74730,226,2206,2152,3,1,steipete,notion,software_tool,"[""software_tool""]",tool_specific,Notion,"[""productivity""]","[""Notion""]",[],"[""content management"", ""database management""]",False,85,1.0,The skill provides direct access to the Notion API for managing pages and databases.,21
25,API Gateway,"Connect to 100+ APIs (Google Workspace, Microsoft 365, GitHub, Notion, Slack, Airtable, HubSpot, etc.) with managed OAuth. Use this skill when users want to interact with external services. Security: The MATON_API_KEY authenticates with Maton.ai but grants NO access to third-party services by itself. Each service requires explicit OAuth authorization by the user through Maton's connect flow. Access is strictly scoped to connections the user has authorized. Provided by Maton (https://maton.ai).",https://clawhub.ai/byungkyu/api-gateway,65813,327,511,481,2,81,byungkyu,api-gateway,software_tool,"[""software_tool""]",tool_specific,Maton API Gateway,"[""engineering""]","[""Airtable"", ""GitHub"", ""Google Workspace"", ""HubSpot"", ""Maton"", ""Microsoft 365"", ""Notion"", ""Slack""]",[],"[""API integration"", ""OAuth authentication""]",False,60,1.0,It acts as a managed proxy for connecting to various third-party software APIs.,25
26,Automation Workflows,"Design and implement automation workflows to save time and scale operations as a solopreneur. Use when identifying repetitive tasks to automate, building workflows across tools, setting up triggers and actions, or optimizing existing automations. Covers automation opportunity identification, workflow design, tool selection (Zapier, Make, n8n), testing, and maintenance. Trigger on ""automate"", ""automation"", ""workflow automation"", ""save time"", ""reduce manual work"", ""automate my business"", ""no-code automation"".",https://clawhub.ai/jk-0001/automation-workflows,62694,252,965,922,1,1,jk-0001,automation-workflows,process_workflow,"[""domain_knowledge"", ""process_workflow""]",domain_specific,solopreneur automation,"[""operations"", ""productivity""]","[""Make"", ""Zapier"", ""n8n""]",[],"[""automation audit"", ""task identification"", ""workflow design""]",True,70,1.0,The skill focuses on the domain of solopreneur operations through the design and implementation of automation workflows.,26
